Product ID,Name,Data Access URL,Manual URL (unstable),Dataset ID(s),Variables,time resolution,start time,lon min,lon max,lat min,lat max,Domain
GLOBAL_MULTIYEAR_BGC_001_029,Global Ocean Biogeochemistry Hindcast,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_BGC_001_029/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-029.pdf,cmems_mod_glo_bgc_my_0.25_P1D-m,all,1D,1993,-28.0,-12.0,8.0,20.0,Biology
GLOBAL_MULTIYEAR_BGC_001_029,Global Ocean Biogeochemistry Hindcast,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_BGC_001_029/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-029.pdf,cmems_mod_glo_bgc_my_0.25_P1M-m,all,1M,1993,,,,,Biology
GLOBAL_MULTIYEAR_BGC_001_033,Global ocean low and mid trophic levels biomass content hindcast,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_BGC_001_033/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-033.pdf,cmems_mod_glo_bgc_my_0.083deg-lmtl-Fphy_PT1D-i cmems_mod_glo_bgc_my_0.083deg-lmtl_PT1D-i,all,1D,1998,-28.0,-12.0,8.0,20.0,Biology
OCEANCOLOUR_GLO_BGC_L3_NRT_009_101,"Global Ocean Colour (Copernicus-GlobColour), Bio-Geo-Chemical, L3 (daily) from Satellite Observations (Near Real Time)",https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L3_NRT_009_101/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-009-101.pdf,"cmems_obs-oc_glo_bgc-optics_nrt_l3-multi-4km_P1D 
cmems_obs-oc_glo_bgc-plankton_nrt_l3-multi-4km_P1D 
cmems_obs-oc_glo_bgc-plankton_nrt_l3-olci-300m_P1D 
cmems_obs-oc_glo_bgc-plankton_nrt_l3-olci-4km_P1D 
cmems_obs-oc_glo_bgc-reflectance_nrt_l3-multi-4km_P1D 
cmems_obs-oc_glo_bgc-reflectance_nrt_l3-olci-300m_P1D 
cmems_obs-oc_glo_bgc-reflectance_nrt_l3-olci-4km_P1D 
cmems_obs-oc_glo_bgc-transp_nrt_l3-multi-4km_P1D 
cmems_obs-oc_glo_bgc-transp_nrt_l3-olci-4km_P1D",all,1D,2023,,,,,Biology
OCEANCOLOUR_GLO_BGC_L4_NRT_009_102,"Global Ocean Colour (Copernicus-GlobColour), Bio-Geo-Chemical, L4 (monthly and interpolated) from Satellite Observations (Near Real Time)",https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L4_NRT_009_102/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-009-102.pdf,"cmems_obs-oc_glo_bgc-plankton_nrt_l4-gapfree-multi-4km_P1D 
cmems_obs-oc_glo_bgc-transp_nrt_l4-gapfree-multi-4km_P1D ",all,1D,2023,,,,,Biology
OCEANCOLOUR_GLO_BGC_L4_NRT_009_102,"Global Ocean Colour (Copernicus-GlobColour), Bio-Geo-Chemical, L4 (monthly and interpolated) from Satellite Observations (Near Real Time)",https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L4_NRT_009_102/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-009-102.pdf,"cmems_obs-oc_glo_bgc-optics_nrt_l4-multi-4km_P1M 
cmems_obs-oc_glo_bgc-plankton_nrt_l4-multi-4km_P1M 
cmems_obs-oc_glo_bgc-plankton_nrt_l4-olci-300m_P1M 
cmems_obs-oc_glo_bgc-plankton_nrt_l4-olci-4km_P1M 
cmems_obs-oc_glo_bgc-pp_nrt_l4-multi-4km_P1M 
cmems_obs-oc_glo_bgc-reflectance_nrt_l4-multi-4km_P1M 
cmems_obs-oc_glo_bgc-reflectance_nrt_l4-olci-300m_P1M 
cmems_obs-oc_glo_bgc-reflectance_nrt_l4-olci-4km_P1M 
cmems_obs-oc_glo_bgc-transp_nrt_l4-multi-4km_P1M 
cmems_obs-oc_glo_bgc-transp_nrt_l4-olci-4km_P1M",all,1M,2023,,,,,Biology
OCEANCOLOUR_GLO_BGC_L3_MY_009_107,Global Ocean Colour Plankton and Reflectances MY L3 daily observations,https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L3_MY_009_107/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-009-107.pdf,c3s_obs-oc_glo_bgc-plankton_my_l3-multi-4km_P1D c3s_obs-oc_glo_bgc-reflectance_my_l3-multi-4km_P1D,all,1D,1997,-28.0,-12.0,8.0,20.0,Biology
OCEANCOLOUR_GLO_BGC_L4_MY_009_108,Global Ocean Colour Plankton MY L4 monthly observations,https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L4_MY_009_108/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-009-108.pdf,cmems_mod_glo_bgc_my_0.083deg-lmtl-Fphy_PT1D-i cmems_mod_glo_bgc_my_0.083deg-lmtl_PT1D-i,all,1D,1998,-28.0,-12.0,8.0,20.0,Biology
INSITU_GLO_BGC_DISCRETE_MY_013_046,Global Ocean - Delayed Mode Biogeochemical product,https://data.marine.copernicus.eu/product/INSITU_GLO_BGC_DISCRETE_MY_013_046/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-013-046.pdf,"cmems_obs-ins_glo_bgc-chl_my_na_irr
cmems_obs-ins_glo_bgc-nut_my_na_irr
cmems_obs-ins_glo_bgc-ox_my_na_irr",all,0,1990,-28.0,-12.0,8.0,20.0,Biology
MULTIOBS_GLO_BGC_NUTRIENTS_CARBON_PROFILES_MYNRT_015_009,Nutrient and carbon profiles vertical distribution,https://data.marine.copernicus.eu/product/MULTIOBS_GLO_BGC_NUTRIENTS_CARBON_PROFILES_MYNRT_015_009/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-015-009.pdf,cmems_obs-mob_glo_bgc-nut-car_mynrt_irr_i,all,0,2002,-28.0,-12.0,8.0,20.0,Biology
WIND_GLO_PHY_L4_NRT_012_004,Global Ocean Hourly Sea Surface Wind and Stress from Scatterometer and Model,https://data.marine.copernicus.eu/product/WIND_GLO_PHY_L4_NRT_012_004/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-012-004.pdf,cmems_obs-wind_glo_phy_nrt_l4_0.125deg_PT1H,all,1H,2021,-28.0,-12.0,8.0,20.0,Physics
WIND_GLO_PHY_L4_MY_012_006,Global Ocean Hourly Reprocessed Sea Surface Wind and Stress from Scatterometer and Model,https://data.marine.copernicus.eu/product/WIND_GLO_PHY_L4_MY_012_006/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-012-006.pdf,cmems_obs-wind_glo_phy_my_l4_0.125deg_PT1H cmems_obs-wind_glo_phy_my_l4_0.25deg_PT1H,all,1H,1999,-28.0,-12.0,8.0,20.0,Physics
WIND_GLO_PHY_CLIMATE_L4_MY_012_003,Global Ocean Monthly Mean Sea Surface Wind and Stress from Scatterometer and Model,https://data.marine.copernicus.eu/product/WIND_GLO_PHY_CLIMATE_L4_MY_012_003/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-012-003.pdf,cmems_obs-wind_glo_phy_my_l4_P1M,all,1H,1999,,,,,Physics
